make,model,price,year,mileage,condition,city,state,country,condition2,vin,make,model,item_ID
Ford,Mustang GT,42000,2012,35500,Used,Escondido,California,United States,Used,1zvbp8cf1c5234882,Ford,Mustang,1.31747E+11
 Cadillac,XLR Base Convertible 2-Door ,25900,2004,36274,Used,Van Nuys,California,United States,Used,1G6YV34A645600283,Cadillac,XLR,3.61502E+11
Chevrolet,Impala SUPER SPORT,6400,1964,96296,Used,Downey,California,United States,Used,41447J124932,Chevrolet,Impala,2.22044E+11
Mercedes-Benz,C-Class C250,29860,2014,11649,Certified pre-owned,Beverly Hills,California,United States,Certified pre-owned,WDDGJ4HB6EG301224,Mercedes-Benz,C-Class,2.31868E+11
BMW,3-Series Base Sedan 4-Door,16995,2009,86700,Used,San Diego,California,United States,Used,WBAPN73559A265212,BMW,3-Series,1.31748E+11
Bentley,Other GT Speed Coupe 2-Door,79000,2008,24169,Used,Costa Mesa,California,United States,Used,SCBCP73W18C056625,Bentley,Other,2.31857E+11
Ford,Mustang 2dr Cpe GT D,13995,2006,69216,Used,Long Beach,California,United States,Used ,Used ,"“No marks or damages on the body of the car. Interior is very clean and all parts function properly. Smooth drive, offers power!!”","“No marks or damages on the body of the car. Interior is very clean and all parts function properly. Smooth drive, offers power!!”",4.01087E+11
Scion,tC Base Coupe 2-Door,8500,2009,89000,Used,San Clemente,California,United States,Used,JTKDE167390275770,Scion,tC,1.72128E+11
Ford,F-250,11500,1956,72975,Used,Costa Mesa,California,United States,Used ,Used ,"“UP FOR SALE IS A FORD F250 PICK UP TRUCK HAS A FEW DENTS HERE AND THERE, BUT OVERALL IN GOOD CONDITION WITH EXCEPTION OF THE ORIGINAL DETERIORATING WOOD IN THE 8 FT BED, AND DENT ON PASSENGER SIDE RUNNING BOARD.”","“UP FOR SALE IS A FORD F250 PICK UP TRUCK HAS A FEW DENTS HERE AND THERE, BUT OVERALL IN GOOD CONDITION WITH EXCEPTION OF THE ORIGINAL DETERIORATING WOOD IN THE 8 FT BED, AND DENT ON PASSENGER SIDE RUNNING BOARD.”",3.31799E+11
Other Makes,TIFFANY 2 DOOR COUPE,25500,1986,23900,Used,San Diego,California,United States,Used,1MEBP92F2GH733428,1986,TIFFANY,3.01893E+11
Mercedes-Benz,S-Class Base Sedan 4-Door,9900,2004,122000,Used,Simi Valley,California,United States,Used,WDBNG75JX4A421959,Mercedes-Benz,S-Class,2.31873E+11
Chevrolet,Camaro SS Convertible 2-Door,29000,2011,11400,Used,Saco,Maine,United States,Used ,Used ,“Excellent condition.”,“Excellent condition.”,2.31868E+11
Ferrari,430 Base Coupe 2-Door,105888,2006,23289,Used,Corona,California,United States,Used,ZFFEW58A060148299,Ferrari,430,1.82037E+11
Porsche,911 Carrera Coupe 2-Door,44000,1988,88000,Used,Los Angeles,California,United States,Used,WP0AB0919JS122033,Porsche,911,1.52009E+11
Chevrolet,Other Pickups 3600,9200,1955,88255,Used,Upland,California,United States,Used ,Used ,“Well patina'd vintage truck”,“Well patina'd vintage truck”,2.62321E+11
Audi,R8 Base Coupe 2-Door,99999,2012,27600,Used,Long Beach,California,United States,Used ,Used ,"“No defects that I can see, inspection is welcome by appointment.”","“No defects that I can see, inspection is welcome by appointment.”",2.91702E+11
Pontiac,Firebird Formula Coupe 2-Door,3120,1978,50000,Used,Crestline,California,United States,Used ,Used ,"“Car runs and drives great, big things that need to be fixed are, that it doesnt pass smog in CA, and it needs cosmetic work. Paint, seats, dash etc.”","“Car runs and drives great, big things that need to be fixed are, that it doesnt pass smog in CA, and it needs cosmetic work. Paint, seats, dash etc.”",2.52315E+11
Mercedes-Benz,C-Class C250 Sedan,29882,2014,7882,Certified pre-owned,Beverly Hills,California,United States,Certified pre-owned,WDDGF4HB7ER302307,Mercedes-Benz,C-Class,2.31871E+11
Chevrolet,Other Pickups,39500,1966,34339,Used,Ontario,California,United States,Used,1966 CHEVROLET,Chevrolet,Other Pickups,1.3175E+11
Bentley,Other GT Speed Coupe 2-Door,149999,2013,11805,Used,Costa Mesa,California,United States,Used,SCBFC7ZA2DC085789,Bentley,Other,1.72127E+11
Ford,Other Collectors Series,16500,1979,60158,Used,Redlands,California,United States,Used,9Y89S641089,Ford,Other,3.22015E+11
Maserati,Other Base Convertible 2-Door,69995,2012,21975,Used,Rancho Santa Fe,California,United States,Used,ZAM45KMA5C0064858,Maserati,Other,3.31787E+11
Mercedes-Benz,C-Class C250,29980,2014,13962,Certified pre-owned,Beverly Hills,California,United States,Certified pre-owned,WDDGF4HB7EA945349,Mercedes-Benz,C-Class,2.3187E+11
Ford,Thunderbird 4 doors 2 suicide,4950,1970,70000,Used,West Hills,California,United States,Used ,Used ,“The car runs and drives without any issue.”,“The car runs and drives without any issue.”,1.82047E+11
