"model","price","year","mileage"
"New listing Ford: Thunderbird 2dr LX","200.00","1993","107,940"
"Ford: Mustang Base Coupe 2-Door","2,499.99","2000","133,118"
"Ford: Mustang Base Hardtop 2-Door","2,125.00","1969"," "
" Mercedes-Benz: SL-Class Base Convertible 2-Door ","47,750.00","2005","22,000"
"Ford: Mustang GT Premium Coupe 2-Door","23,100.00","2015","4,690"
"New listing BMW: 5-Series Base Sedan 4-Door","3,500.00","2003","146,146"
"Chevrolet: Corvette 2 door coupe","100,000.00","1958","83,000"
"Chevrolet: Corvette 2dr Z51 Convertible w/3LT","20,100.00","2014","3,047"
"Chevrolet: Corvette Base Convertible 2-Door","20,000.00","2001","18,524"
"Ford: Mustang 2dr Sedan LX","7,999.00","1992","1"
"Hummer: H2 Base Sport Utility 4-Door","89,888.00","2005","188"
"Chevrolet: Corvette C-3 Shark Body","35,900.00","1982","11,400"
"Volkswagen: Beetle-New coupe 2-door.","5,655.00","2007","101,200"
"Jaguar: Other 4dr Sdn Vand","560.00","2001","180,400"
"Ford: Explorer 4dr 112"" WB","249.50","1998","188,394"
"Mercedes-Benz: 300-Series Base Sedan 4-Door","11,000.00","1985","57,388"
"Chevrolet: Corvette Convertible 2-Door Base","27,995.00","2008","26,901"
" Ford: F-350 Platinum Ed ","109,900.00","2015","15,338"
"Cadillac: DeVille Base Sedan 4-Door","12,885.00","2005","74,436"
"Toyota: Camry SE Sedan 4-Door","13,500.00","2012","50,050"
"Chevrolet: Camaro IROC Z28","11,000.00","1986","85,000"
"Ford: Mustang NO RESERVE","28,000.00","1967","90,750"
"Chevrolet: Corvette coupe 2 dr","5,900.00","1985","71,000"
"Ford: Mustang Base","7,000.00","1971","99,999"
"Ford: Mustang GT Coupe 2-Door","2,100.00","2002","132,000"
"New listing Chevrolet: Corvette Base Coupe 2-Door","7,500.00","2000","111,111"
" Ford: F-150 Lariat Crew Cab Pickup 4-Door ","39,700.00","2015","5,057"
"Jaguar: XK Base Convertible 2-Door","48,050.00","2011","5,696"
"Mercedes-Benz: E-Class E350 4Matic","9,100.00","2013","28,261"
"Chevrolet: Corvette Base Coupe 2-Door","1,000.00","2009","9,899"
"Ford: Mustang Shelby GT350 Coupe 2-Door","71,900.00","2016","282"
"Chevrolet: Corvette Convertible 2-Door","17,000.00","2001","38,475"
"Chevrolet: Nova Base Coupe 2-Door","881.00","1978","100,000"
"Mercedes-Benz: SL-Class Base Convertible 2-Door","18,700.00","2004","85,799"
"Chevrolet: Corvette NO RESERVE","27,100.00","1969","99,300"
"Chevrolet: Corvette Z51 Coupe 2-Door","27,450.00","2007","76,870"
"Mercedes-Benz: E-Class Base Coupe 2-Door","24,000.00","2010","81,167"
"Chevrolet: SS Base Sedan 4-Door","28,100.00","2015","2,453"
"Toyota: Tacoma SR5 Extended Cab Pickup 2-Door","3,049.90","1998","141,657"
"New listing  Ford: Falcon Falcon Sport Coupe ","2,028.00","1967","79,423"
"Chevrolet: Corvette Base Coupe 2-Door","1,000.00","2007","19,677"
"Ford: F-250 4 Door 7.3 Powerstroke Diesel FREE SHIPPING!!","21,900.00","2001","126"
"Chevrolet: Corvette Base Convertible 2-Door","24,500.00","2006","72,245"
"Mercedes-Benz: E-Class E350 Coupe","3,290.00","2012","22,406"
"Chevrolet: Impala Convertible","34,998.00","1958","50,000"
" Rolls-Royce: Ghost Base Sedan 4-Door ","269,900.00","2015","8,902"
" Chevrolet: C-10 ","15,000.00","1966","200"
" Chevrolet: Corvette Silver ","6,500.00","1986","94,000"
"Chevrolet: Other NONE","8,500.00","1957","1"
"Chevrolet: Corvette Base Convertible 2-Door","25,000.00","1971","42,707"
"Chevrolet: Corvette ZR1","45,100.00","2010","38,850"
"New listing Chevrolet: C-10 C10","8,000.00","1964","340,007"
"Chevrolet: Corvette Z06 Convertible 2-Door","95,000.00","2015","1,000"
"Chevrolet: Corvette Z06","26,990.00","2003","26,574"
"Chevrolet: Impala SS","15,500.00","1995","55,000"
"Chevrolet: Camaro ZL1","55,000.00","2014","3,282"
"Ferrari: 430 Base Coupe 2-Door","299,430.00","2008","6,243"
"Ford: Mustang 2dr Convertible","19,800.00","1989","97,594"
" Chevrolet: Camaro 2SS COUPE ","19,700.00","2010","962"
"New listing Ferrari: Other Base Coupe 2-Door","164,900.00","2011","33,960"
"Jeep: Wrangler Base Sport Utility 2-Door","7,100.00","1988","109,800"
"New listing  Ford: F-250 King Ranch ","60,500.00","2015","4,884"
"New listing  Ford: F-250 King Ranch ","60,750.00","2015","3,193"
"Chevrolet: 2 Door Coupe","18,100.00","1950","1"
"Porsche: 911 Carrera 2dr Convertible","67,499.00","2014","19,771"
"Chevrolet: 2 Door Coupe","18,100.00","1950","1"
"Porsche: 911 Carrera 2dr Convertible","67,499.00","2014","19,771"
" Volkswagen: CC Sport Sedan 4-Door ","9,499.00","2010","88,588"
